character,episode_number,episode_title,quote,season,tokening,emotions,polaridad,subjetividad,neg,neu,pos,compound
Ross,7,Ross Finds Out,"When, when were you... under me? Rach. Rachel do you, I mean, were you, uh... What?",2,rach rachel mean uh,"[-0.3125, 0.6875, 0.0, 1.0, 0.0, 0.0]",-0.3125,0.6875,0.0,1.0,0.0,0.0
Chandler,5,Rachel`s Sister Babysits,Word!,10,word,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Ross,2,The Breast Milk,"Oh, you`ve tasted it.",2,oh taste,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Joey,15,Ross And Rachel Take A Break,4:30.,3,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0
Joey,15,"That Could Have Been, Part I & II",Oh my God! That`s great! Congratulations! What`s the story?!,6,oh god great congratulation story,"[0.8, 0.75, 0.0, 0.165, 0.835, 0.8779]",0.8,0.75,0.0,0.165,0.835,0.8779
Rachel,19,Ross And Monica`s Cousin,Are you makin` him a sandwich?,7,makin sandwich,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Ross,2,Ross Is Fine,I`m not going nuts. Do you see me go nuts?,10,go nuts nuts,"[0.0, 0.0, 0.821, 0.179, 0.0, -0.5574]",0.0,0.0,0.821,0.179,0.0,-0.5574
Phoebe,19,Rachel`s Dream,"Ok, well, who identified the tone of this restaurant as pretentious comma garlicky?",9,ok identify tone restaurant pretentious comma garlicky,"[0.1, 0.6, 0.0, 0.732, 0.268, 0.296]",0.1,0.6,0.0,0.732,0.268,0.296
Ross,12,They`re Up All Night,"Okay. Well, you be careful.",7,okay careful,"[0.2, 0.75, 0.0, 0.0, 1.0, 0.3612]",0.2,0.75,0.0,0.0,1.0,0.3612
Rachel,7,The Stain,"Well, I haven`t discussed it with him yet, but I know he`s gonna be relieved. Last week, he brought this girl over and I started talking to her about morning sickness and then I showed her pictures from my pregnancy book.",8,discuss know going to relieve week bring girl start talk morning sickness show picture pregnancy book,"[0.0, 0.0, 0.0, 0.857, 0.143, 0.3612]",0.0,0.0,0.0,0.857,0.143,0.3612
Monica,8,Ross`s Teeth,"We should go.Scene: Rachel`s office, Phoebe hands Rachel a key card.]",6,scene office phoebe hand rachel key card,"[0.0, 1.0, 0.0, 0.652, 0.348, 0.4939]",0.0,1.0,0.0,0.652,0.348,0.4939
Rachel,11,Ross`s Step Forward,Hi.,8,hi,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Rachel,21,The Invitation,"And hey! Just so you know, it`s not that common! It doesn`t happen to every guy! And it is a big deal!!",4,hey know common happen guy big deal,"[-0.15, 0.3, 0.0, 1.0, 0.0, 0.0]",-0.15,0.3,0.0,1.0,0.0,0.0
Monica,5,Frank Jr.,It`s beautiful! It`s like the first bathroom floor there ever was. (Chandler tries to go to the bathroom) Whoa! Are you going in there for?,3,beautiful like bathroom floor chandler try bathroom whoa go,"[0.85, 1.0, 0.0, 0.522, 0.478, 0.7506]",0.85,1.0,0.0,0.522,0.478,0.7506
Monica,22,The Screamer,"All right. Honey, that`s-that`s a sleeve. Okay?",3,right honey sleeve okay,"[0.39285714285714285, 0.5178571428571428, 0.0, 0.612, 0.388, 0.2263]",0.39285714285714285,0.5178571428571428,0.0,0.612,0.388,0.2263
Monica,2,Ross Is Fine,That`s not really how it works.,10,work,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Phoebe,21,The Ball,"Umm, yeah! Today`s.",5,umm yeah,"[0.0, 0.0, 0.0, 0.312, 0.688, 0.296]",0.0,0.0,0.0,0.312,0.688,0.296
Rachel,21,The Bullies,Are you kidding me?,2,kid,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Rachel,15,Estelle Dies,"Yeah, you know, was I looking forward to going to Paris? Sure. You know, was I excited about working in the fashion capital of the world? Ooh, absolutely... Oh...! Yeah, but you know, this is... it`s fine. I`m fine going back to a job where I`ve pretty much gotten everything out of that I possibly can... (she sits down, and Ross who is stunned to hear all this follows her example)",10,yeah know look forward go paris sure know excited work fashion capital world ooh absolutely oh yeah know fine fine go job pretty get possibly sit ross stun hear follow example,"[0.3083333333333333, 0.7912698412698412, 0.0, 0.602, 0.398, 0.9169]",0.3083333333333333,0.7912698412698412,0.0,0.602,0.398,0.9169
Ross,15,The Girl Who Hits Joey,Phoebe! (He grabs her arm to get her attention.),5,phoebe grab arm attention,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Chandler,3,The Cuffs,"(checks his watch) Two hours, that lasted!",4,check watch hour last,"[0.0, 0.06666666666666667, 0.0, 1.0, 0.0, 0.0]",0.0,0.06666666666666667,0.0,1.0,0.0,0.0
Phoebe,11,The Apothecary Table,"Yes, yes I do. God, oh it`s just perfect! Wow! I bet it has a great story behind it too. Did they tell you anything? Like y`know where it was from or",6,yes yes god oh perfect wow bet great story tell like,"[0.6333333333333334, 0.9166666666666666, 0.0, 0.156, 0.844, 0.9666]",0.6333333333333334,0.9166666666666666,0.0,0.156,0.844,0.9666
Phoebe,19,Joey`s Fridge,Hey!,6,hey,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Monica,8,The List,[still chewing] Mmm-mmm.,2,chew mmm mmm,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Ross,18,All The Poker,"Oh, you`re... (gives up)",1,oh give,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Ross,4,Rachel`s Assistant,"Ohh! Ohh! In college, Chandler got drunk and slept with the lady who cleaned our dorm!",7,ohh ohh college chandler get drunk sleep lady clean dorm,"[-0.06666666666666665, 0.8500000000000001, 0.183, 0.611, 0.206, 0.0772]",-0.06666666666666665,0.8500000000000001,0.183,0.611,0.206,0.0772
Monica,21,The Fake Monica,Nope. Going to the Big Apple Circus today.,1,nope go big apple circus today,"[0.0, 0.1, 0.0, 1.0, 0.0, 0.0]",0.0,0.1,0.0,1.0,0.0,0.0
Rachel,6,The Nap Partners,"Okay, bla-bla-bla-bla!! Who is it?!",7,okay bla bla bla bla,"[0.5, 0.5, 0.0, 0.678, 0.322, 0.2263]",0.5,0.5,0.0,0.678,0.322,0.2263
Rachel,5,Joey`s New Girlfriend,Ughh! (Storms out after him),4,ughh storm,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Chandler,15,Ross And Rachel... You Know,"Alright, alright, but you better be wearing clothes when I open my eyes.",2,alright alright well wear clothe open eye,"[0.0, 0.5, 0.0, 0.396, 0.604, 0.6249]",0.0,0.5,0.0,0.396,0.604,0.6249
Rachel,16,The Fake Party,"Well, Joshua`s coming in tomorrow and since I don`t have the guts to ask him out, I`m going to sell him a coat and put this note in the pocket.",4,come tomorrow gut ask go sell coat note pocket,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Rachel,17,The Memorial Service,(to herself) Oh God.,9,oh god,"[0.0, 0.0, 0.0, 0.323, 0.677, 0.2732]",0.0,0.0,0.0,0.323,0.677,0.2732
Ross,17,Unagi,"Yeah, yeah, I was watching. (The instructor just nods and walks away.) Umm, hey, a couple of questions though. Umm, about that-that-that last move where the woman tripped you and then pinned you to the floor, what-what-what-what would you do next?",6,yeah yeah watch instructor nod walk away umm hey couple question umm woman trip pin floor,"[0.0, 0.0, 0.0, 0.761, 0.239, 0.5267]",0.0,0.0,0.0,0.761,0.239,0.5267
Phoebe,8,Chandler In A Box,"(on phone) Hi! Yeah, I`m calling on behalf of Monica Geller`s eye, and is um, is Richard Burke in today. (Listens) (to Monica) He`s out of town, but does she want to see the on-call doctor?",4,phone hi yeah call behalf monica eye um richard burke today listens monica town want doctor,"[0.0, 0.0, 0.0, 0.8, 0.2, 0.3612]",0.0,0.0,0.0,0.8,0.2,0.3612
Ross,14,The Blind Dates,"Hey, what`s wrong?",9,hey wrong,"[-0.5, 0.9, 0.756, 0.244, 0.0, -0.4767]",-0.5,0.9,0.756,0.244,0.0,-0.4767
Phoebe,23,The Ring,(To Chandler) Here he is.,6,chandler,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Monica,14,The Blind Dates,"Hey, where are all my ovulation-sticks? There`s only one here.",9,hey ovulation stick,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Ross,23,Rachel Has A Baby,Yeah?,8,yeah,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.296]",0.0,0.0,0.0,0.0,1.0,0.296
Rachel,20,The Evil Orthodontist,Okay.,1,okay,"[0.5, 0.5, 0.0, 0.0, 1.0, 0.2263]",0.5,0.5,0.0,0.0,1.0,0.2263
Rachel,3,Hundredth,"Monica, this is Dan (points to him), one of the guys that we`re gonna be going out with on Saturday. (Mouths ""He`s yours."" to her.) Uh Dan, Monica.",5,monica dan point guy going to go saturday mouths uh dan monica,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Joey,9,The Rumor,I`m afraid I`m gonna need proof.,8,afraid going to need proof,"[-0.6, 0.9, 0.0, 1.0, 0.0, 0.0]",-0.6,0.9,0.0,1.0,0.0,0.0
Joey,13,Joey`s Bag,"Well, I ain`t gonna say no to that.",5,going to,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Chandler,6,The Flashback,Sure. Ummm. What`s up?,3,sure ummm,"[0.5, 0.8888888888888888, 0.0, 0.303, 0.697, 0.3182]",0.5,0.8888888888888888,0.0,0.303,0.697,0.3182
Rachel,2,The Cat,"Umm, when were you gonna tell me that you`re going out with Chip Matthews?",4,umm going to tell go chip matthews,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Ross,10,The Inappropriate Sister,"Uh, you weighted 200 pounds.",5,uh weight pound,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Ross,11,The Stripper Cries,Boss!,10,boss,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Rachel,13,Rachel`s Crush,No. Have you?,4,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0
Monica,15,Estelle Dies,That`s terrible!,10,terrible,"[-1.0, 1.0, 1.0, 0.0, 0.0, -0.4767]",-1.0,1.0,1.0,0.0,0.0,-0.4767
Joey,1,Monica`s Thunder,"But I-I-I can`t stay too long, I gotta get up early for a commercial audition tomorrow and I gotta look good. I`m supposed to be playing a 19-year-old. (Everyone stops in their tracks upon hearing this.) What?",7,stay long got to early commercial audition tomorrow got to look good suppose play year old stop track hear,"[0.16999999999999998, 0.3, 0.094, 0.681, 0.226, 0.4767]",0.16999999999999998,0.3,0.094,0.681,0.226,0.4767
Ross,5,Rachel`s Sister Babysits,What do I know? I just sell Middle Eastern food from a cart!,10,know sell middle eastern food cart,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Monica,9,Rachel`s Phone Number,"So, you lied to him?",9,lie,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Rachel,1,No One Proposes,Joey.,9,joey,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Rachel,3,Rachel Tells...,"No, I don`t see it!",8,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0
Joey,6,The Yeti,"Well uh, I don`t know about who`s here, but I can tell you for damn sure who`s not here and that`s Rachel!!",5,uh know tell damn sure rachel,"[0.5, 0.8888888888888888, 0.3, 0.444, 0.256, -0.1027]",0.5,0.8888888888888888,0.3,0.444,0.256,-0.1027
Chandler,5,Rachel`s Date,I think it`s best sir.,8,think good sir,"[0.7, 0.6000000000000001, 0.0, 0.408, 0.592, 0.4404]",0.7,0.6000000000000001,0.0,0.408,0.592,0.4404
Ross,23,Ross`s Wedding,"Uh-huh, I see that.",4,uh huh,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Monica,13,Joey`s Bag,"Y`know, Joey, I think it`s time to give up the bag.",5,joey think time bag,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Ross,7,The Blackout,(nonchalantly) Yeah?,1,nonchalantly yeah,"[0.0, 0.0, 0.0, 0.312, 0.688, 0.296]",0.0,0.0,0.0,0.312,0.688,0.296
Ross,23,Ross`s Thing,"He couldn`t even tell me! He said it was just some sort of skin... abnormality. And the worst thing is he-he-he said, he said, without being able to identify it, he was reluctant to remove it.",3,tell say sort skin abnormality bad thing say say able identify reluctant remove,"[-0.09999999999999992, 0.6458333333333333, 0.333, 0.667, 0.0, -0.6705]",-0.09999999999999992,0.6458333333333333,0.333,0.667,0.0,-0.6705
Chandler,19,All The Haste,Totally worth it!,4,totally worth,"[0.3, 0.1, 0.0, 0.313, 0.687, 0.2944]",0.3,0.1,0.0,0.313,0.687,0.2944
Monica,12,All The Jealousy,Hey.,3,hey,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Monica,8,Nana Dies Twice,"Let`s see, 1939... yeah, 24, 25?",1,yeah,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.296]",0.0,0.0,0.0,0.0,1.0,0.296
Chandler,4,Rachel`s Assistant,Du-ude!,7,du ude,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Monica,13,Joey Speaks French,"Joey. Erica, baby!",10,joey erica baby,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Ross,1,Monica Gets A Roommate,You got a job?,1,get job,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Rachel,24,The Ultimate Fighting Champion,How`d it go with Pete?!,3,pete,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Rachel,5,Rachel`s Sister Babysits,"Oh, I know, isn`t she?",10,oh know,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Joey,16,Joey Moves Out,"Hey! We were just sayin`, great apartment man.",2,hey sayin great apartment man,"[0.8, 0.75, 0.0, 0.494, 0.506, 0.6249]",0.8,0.75,0.0,0.494,0.506,0.6249
Joey,20,Mac And C.H.E.E.S.E.,Well you-you-you-you might say congratulations! I saw the board! I went to the audition! I got the part!!,6,congratulation see board go audition get,"[0.0, 0.0, 0.0, 0.562, 0.438, 0.5994]",0.0,0.0,0.0,0.562,0.438,0.5994
Phoebe,5,Rachel`s Date,Oh youyou made pesto?,8,oh pesto,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Joey,9,The Football,"When they`re hungry enough, they`ll come in.",3,hungry come,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Chandler,1,Monica Gets A Roommate,And I just want a million dollars! (He extends his hand hopefully.),1,want million dollar extend hand hopefully,"[0.0, 0.0, 0.0, 0.183, 0.817, 0.7845]",0.0,0.0,0.0,0.183,0.817,0.7845
Ross,7,Ross Finds Out,[perky] I`ll be right down.,2,perky right,"[0.2857142857142857, 0.5357142857142857, 0.0, 1.0, 0.0, 0.0]",0.2857142857142857,0.5357142857142857,0.0,1.0,0.0,0.0
Phoebe,1,Vegas,Do you like car games?,6,like car game,"[-0.4, 0.4, 0.0, 0.444, 0.556, 0.3612]",-0.4,0.4,0.0,0.444,0.556,0.3612
Monica,5,Five Steaks And An Eggplant,Charity?,2,charity,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.4215]",0.0,0.0,0.0,0.0,1.0,0.4215
Monica,2,Emma Cries,Honey why don`t you go lie down.,9,honey lie,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Ross,8,Ross`s Teeth,"Come on, seriously.",6,come seriously,"[-0.3333333333333333, 0.6666666666666666, 0.63, 0.37, 0.0, -0.1779]",-0.3333333333333333,0.6666666666666666,0.63,0.37,0.0,-0.1779
Monica,6,The Nap Partners,How?,7,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,0.0
Monica,5,Joey`s New Girlfriend,Oh come on! You`re making it sound worse than it actually was.,4,oh come make sound bad actually,"[-0.09999999999999994, 0.3888888888888889, 0.412, 0.588, 0.0, -0.5423]",-0.09999999999999994,0.3888888888888889,0.412,0.588,0.0,-0.5423
Phoebe,1,The Jellyfish,"Well, umm, my Mom`s friend, Phoebe, is actually my birth Mom.",4,umm friend phoebe actually birth mom,"[0.0, 0.1, 0.0, 0.61, 0.39, 0.4939]",0.0,0.1,0.0,0.61,0.39,0.4939
Chandler,14,They All Turn Thirty,(To Monica) Go change! (To Phoebe) She doesn`t want her parents to know she`s drunk.,7,monica change phoebe want parent know drunk,"[-0.5, 1.0, 0.276, 0.575, 0.149, -0.2732]",-0.5,1.0,0.276,0.575,0.149,-0.2732
Monica,6,The Yeti,"Hey, what`s that?",5,hey,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Phoebe,21,The Cooking Class,"Yeah, just don`t get your hopes up.",8,yeah hope,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.6249]",0.0,0.0,0.0,0.0,1.0,0.6249
Chandler,1,No One Proposes,"Look, we can`t stay in here forever.",9,look stay forever,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Chandler,17,Eddie Moves In,"Oh it`s uh, over there on the table.",2,oh uh table,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
Phoebe,1,Vegas,No-No! You need your sleep. Night-night! Shh! (She closes the partition.),6,need sleep night night shh close partition,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0.0,0.0,1.0,0.0,0.0
